state,total_cases,preds_cases_7_20200419,preds_cases_3_20200423,preds_cases_20200425,Mape_7,Mape_3,Mape
Andaman and Nicobar Islands,33,26,23,27,0.212121212121212,0.303030303030303,0.181818181818182
Andhra Pradesh,1061,1225,1014,1074,0.154571159283695,0.044297832233742,0.012252591894439
Arunachal Pradesh,1,3,2,2,2,1,1
Assam,36,75,48,44,1.08333333333333,0.333333333333333,0.222222222222222
Bihar,243,178,170,184,0.267489711934156,0.300411522633745,0.242798353909465
Chandigarh,28,45,37,33,0.607142857142857,0.321428571428571,0.178571428571429
Chhattisgarh,37,78,49,44,1.10810810810811,0.324324324324324,0.189189189189189
Delhi,2625,3654,2886,2849,0.392,0.099428571428572,0.085333333333333
Goa,7,15,10,9,1.14285714285714,0.428571428571429,0.285714285714286
Gujarat,3071,2353,2915,3146,0.233800065125366,0.050797785737545,0.02442201237382
Haryana,289,482,341,327,0.667820069204152,0.179930795847751,0.131487889273356
Himachal Pradesh,40,78,53,49,0.95,0.325,0.225
Jammu and Kashmir,494,703,509,513,0.423076923076923,0.030364372469636,0.038461538461539
Jharkhand,67,71,61,64,0.059701492537314,0.08955223880597,0.044776119402985
Karnataka,500,769,560,534,0.538,0.12,0.068
Kerala,457,848,572,537,0.855579868708971,0.25164113785558,0.175054704595186
Ladakh,20,39,25,22,0.95,0.25,0.1
Madhya Pradesh,2096,2805,2078,2038,0.338263358778626,0.008587786259542,0.027671755725191
Maharashtra,7628,7114,6984,7710,0.067383324593603,0.08442579968537,0.010749868904038
Manipur,2,5,4,3,1.5,1,0.5
Meghalaya,12,20,17,15,0.666666666666667,0.416666666666667,0.25
Mizoram,1,3,2,2,2,1,1
Odisha,94,129,107,109,0.372340425531915,0.138297872340426,0.159574468085106
Puducherry,7,15,10,9,1.14285714285714,0.428571428571429,0.285714285714286
Punjab,298,433,329,333,0.453020134228188,0.104026845637584,0.11744966442953
Rajasthan,2083,2631,2221,2356,0.263082093134902,0.066250600096015,0.131060969755161
Tamil Nadu,1821,2833,2137,2019,0.555738605161999,0.173531026908292,0.108731466227348
Telengana,991,1640,1243,1152,0.65489404641776,0.254288597376387,0.162462159434914
Tripura,2,5,4,3,1.5,1,0.5
Uttarakhand,48,86,63,57,0.791666666666667,0.3125,0.1875
Uttar Pradesh,1793,1818,1733,1811,0.013943112102621,0.033463469046291,0.010039040713887
West Bengal,611,615,567,617,0.006546644844517,0.072013093289689,0.009819967266776
,26496,30794,26774,27692,0.686625130138057,0.298272981361818,0.20830860928174
,,,,,0.162213164251208,0.010383207589453,0.045138888888889
